timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_recv,duration_ms,action
2025-02-25T08:00:01Z,192.168.1.45,93.184.216.34,52101,443,TCP,1240,8820,234,ALLOW
2025-02-25T08:01:00Z,192.168.1.100,8.8.8.8,49201,53,UDP,68,120,12,ALLOW
2025-02-25T08:04:00Z,203.0.113.77,10.0.0.1,44231,22,TCP,1480,0,5001,BLOCK
2025-02-25T08:04:01Z,203.0.113.77,10.0.0.1,44232,23,TCP,540,0,3001,BLOCK
2025-02-25T08:04:01Z,203.0.113.77,10.0.0.1,44233,80,TCP,540,512,201,ALLOW
2025-02-25T08:04:02Z,203.0.113.77,10.0.0.1,44234,443,TCP,540,512,198,ALLOW
2025-02-25T08:04:02Z,203.0.113.77,10.0.0.1,44235,3306,TCP,540,0,5001,BLOCK
2025-02-25T08:04:03Z,203.0.113.77,10.0.0.1,44236,5432,TCP,540,0,5001,BLOCK
2025-02-25T08:04:03Z,203.0.113.77,10.0.0.1,44237,6379,TCP,540,0,5001,BLOCK
2025-02-25T08:04:04Z,203.0.113.77,10.0.0.1,44238,8080,TCP,540,0,5001,BLOCK
2025-02-25T08:15:44Z,185.220.101.34,10.0.0.5,49100,443,TCP,890,89,445,ALLOW
2025-02-25T08:15:45Z,185.220.101.34,10.0.0.5,49101,443,TCP,890,89,441,ALLOW
2025-02-25T08:15:46Z,185.220.101.34,10.0.0.5,49102,443,TCP,890,89,439,ALLOW
2025-02-25T09:00:00Z,192.168.1.45,10.0.0.20,55001,443,TCP,240,2097152,4501,ALLOW
2025-02-25T09:30:00Z,192.168.1.100,93.184.216.34,58001,443,TCP,2048,15360,1201,ALLOW
2025-02-25T02:47:13Z,198.51.100.88,10.0.0.5,61001,22,TCP,48000,2000,12001,ALLOW
2025-02-25T02:47:35Z,198.51.100.88,185.220.101.34,61002,443,TCP,1572864,0,45000,ALLOW
2025-02-25T10:00:00Z,10.0.0.55,10.0.0.5,39201,8000,TCP,240,43,88,ALLOW
